open,high,low,close,volume,company
12.17,12.245,12.01,12.06,25849837,INFY
11.71,11.97,11.7,11.9,17711800,INFY
11.81,11.84,11.64,11.69,6728000,INFY
11.8,12.05,11.71,12.03,8604700,INFY
11.93,11.98,11.81,11.82,15911000,INFY
11.83,12.16,11.77,11.94,16035200,INFY
11.85,12.03,11.8,11.83,14693100,INFY
11.73,12.23,11.72,12.03,21522300,INFY
11.73,11.97,11.59,11.83,19065200,INFY
11.96,11.99,11.62,11.62,15418500,INFY
12.44,12.44,12.06,12.09,11033200,INFY
12.31,12.45,12.16,12.41,15555300,INFY
12.34,12.39,12.13,12.28,16074700,INFY
12.51,12.72,12.45,12.6,14448800,INFY
12.45,12.64,12.42,12.56,12604300,INFY
12.47,12.6,12.34,12.53,15272100,INFY
12.27,12.5,12.04,12.36,33115000,INFY
12.5,12.56,12.34,12.48,22906700,INFY
12.18,12.64,12.14,12.6,19825900,INFY
12.4,12.55,12.21,12.25,30556300,INFY
11.87,12.15,11.79,12.03,18091400,INFY
12.22,12.27,11.89,11.95,20245200,INFY
12.38,12.7,12.25,12.6,30088300,INFY
11.85,12.38,11.8,12.35,41732500,INFY
11.31,11.8,11.27,11.7,47793100,INFY
10.88,11.15,10.85,11.11,29071800,INFY
10.39,10.76,10.3,10.67,39061000,INFY
11.25,11.32,10.82,10.93,29623500,INFY
11.19,11.39,11.1,11.16,16905900,INFY
11.35,11.5,11.27,11.31,22350400,INFY
11.48,11.58,11.3,11.49,18944400,INFY
11.12,11.58,11.08,11.53,30549100,INFY
11.18,11.19,10.98,11.04,28665800,INFY
10.9,11.25,10.86,11.05,23874900,INFY
11.4,11.55,11.31,11.5,26638300,INFY
11.14,11.25,10.9,10.94,15888800,INFY
10.78,11.15,10.63,11.13,12176700,INFY
11.19,11.25,10.88,10.93,44311900,INFY
11.28,11.46,11.21,11.27,18506800,INFY
11.0,11.04,10.8,10.88,17356200,INFY
10.91,11.2,10.86,11.16,20504600,INFY
10.42,10.78,10.42,10.65,28803500,INFY
10.52,10.55,10.34,10.49,18011400,INFY
10.9,10.94,10.63,10.7,17432700,INFY
10.62,10.83,10.59,10.78,17504500,INFY
10.98,10.98,10.56,10.57,28691300,INFY
10.85,11.04,10.82,10.93,22637100,INFY
10.82,11.01,10.76,10.79,34590100,INFY
10.9,11.05,10.58,10.77,33480500,INFY
10.82,11.12,10.46,10.57,63561800,INFY
11.92,12.07,11.69,11.7,32500100,INFY
11.86,12.13,11.86,11.97,17804800,INFY
12.05,12.05,11.5,11.6,15029000,INFY
11.81,11.86,11.61,11.74,7443300,INFY
11.7,11.78,11.42,11.6,10272500,INFY
12.0,12.16,11.73,11.76,11298600,INFY
12.25,12.48,12.09,12.24,10546600,INFY
12.43,12.47,12.14,12.28,12375000,INFY
12.76,12.82,12.39,12.4,8239600,INFY
12.84,12.86,12.54,12.57,14882500,INFY
12.87,12.88,12.35,12.46,17725700,INFY
13.28,13.4,12.86,13.08,23013900,INFY
12.72,13.56,12.72,13.41,34182100,INFY
12.59,12.73,12.33,12.65,27699800,INFY
12.42,12.78,12.23,12.7,33405700,INFY
12.08,12.45,12.08,12.39,15036500,INFY
12.6,12.6,12.04,12.08,22361400,INFY
12.65,12.81,12.53,12.67,19027200,INFY
12.38,12.69,12.24,12.64,17329800,INFY
12.49,12.78,12.3,12.77,28776000,INFY
12.64,13.27,12.53,12.72,22702700,INFY
12.07,12.68,11.97,12.59,22950900,INFY
11.83,12.15,11.77,12.07,18788100,INFY
11.7,11.86,11.56,11.66,11782300,INFY
11.85,11.94,11.66,11.86,12549500,INFY
12.16,12.22,11.92,12.05,10114300,INFY
12.63,12.66,12.23,12.3,11768600,INFY
12.75,12.84,12.38,12.83,12856600,INFY
12.51,12.74,12.47,12.57,11742600,INFY
12.37,12.68,12.33,12.64,16179400,INFY
12.24,12.51,12.16,12.46,10423300,INFY
12.32,12.48,12.19,12.24,11735400,INFY
12.52,12.64,12.39,12.48,8389800,INFY
12.41,12.56,12.26,12.46,13167800,INFY
12.22,12.48,12.18,12.34,14906600,INFY
12.39,12.46,12.18,12.25,18627200,INFY
12.78,12.82,12.24,12.28,20410400,INFY
12.57,12.88,12.41,12.86,22912100,INFY
12.58,12.98,12.53,12.94,33431700,INFY
13.82,13.87,13.42,13.48,21799500,INFY
14.16,14.22,13.94,14.07,19462600,INFY
14.25,14.33,14.09,14.21,13034400,INFY
14.5,14.71,14.42,14.46,14210800,INFY
14.42,14.49,14.23,14.38,16461800,INFY
14.0,14.38,13.88,14.31,16260500,INFY
14.03,14.27,13.86,13.94,14719900,INFY
13.29,13.99,13.25,13.97,15023700,INFY
13.74,13.75,13.27,13.29,19339800,INFY
13.9,14.0,13.52,13.76,21081000,INFY
14.2,14.42,13.91,14.0,13072700,INFY
13.95,14.1,13.85,13.96,17202300,INFY
13.83,13.85,13.65,13.7,9093000,INFY
13.38,13.8,13.31,13.74,11172000,INFY
13.47,13.65,13.22,13.3,14046400,INFY
13.37,13.7,13.21,13.51,16621100,INFY
12.9,13.27,12.9,13.25,10980700,INFY
13.06,13.14,12.73,12.83,11866900,INFY
13.1,13.36,13.08,13.16,8750500,INFY
13.39,13.53,12.91,13.17,11348100,INFY
13.26,13.38,13.05,13.08,11069900,INFY
13.4,13.54,13.27,13.3,15983100,INFY
13.23,13.33,13.06,13.12,100979500,INFY
12.69,13.15,12.57,13.05,24317200,INFY
13.51,13.6,12.88,12.92,25447600,INFY
13.3,13.31,13.08,13.2,22008800,INFY
